,company,year_of_experience,description,skills,link
0,"B.S.B International Career Pvt. Ltd.
     (More Jobs)",1 - 6 yrs,"Writing reusable ,  testable ,  and efficient codeDesign and implementation of low-latency ,  high-availability ,  and performant applicationsIntegration of user-facing elemen... More Details",python developer,https://www.timesjobs.com/job-detail/python-developer-bsbstaffing-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-noida-greater-noida-1-to-6-yrs-jobid-pHsFviP8ldJzpSvf__PLUS__uAgZw==&source=srp
1,"B.S.B International Career Pvt. Ltd.
     (More Jobs)",1 - 6 yrs,"Write effective ,  scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug pro... More Details",Programmer,https://www.timesjobs.com/job-detail/python-developer-b-s-b-international-career-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-m8__SLASH__nFkS__SLASH__VWtzpSvf__PLUS__uAgZw==&source=srp
2,"R DOT VENTURE
     (More Jobs)",1 - 3 yrs,1. Understanding the client's project requirement.2. Develop  &  Deliver the projects (  from server-side point of view ) 3.Work in teams with other developers to collaborate.... More Details,"Python  ,  django  ,  flask  ,  aws  ,  github  ,  ML libraries  ,  Javascript",https://www.timesjobs.com/job-detail/python-developer-r-dot-venture-indore-1-to-3-yrs-jobid-DGWO__PLUS__LE5cVxzpSvf__PLUS__uAgZw==&source=srp
3,"Shaurya Global Solutions
     (More Jobs)",0 - 3 yrs,Hi we have Requirement for python Developer for one of my client.Work from Home.Experience - 0 to 5 yearsKey SkillsExpertise InCore Python.Good grasp of Web Frameworks.Object ... More Details,"Core Python  ,   Frame Works",https://www.timesjobs.com/job-detail/python-developer-shaurya-global-solutions-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-mumbai-0-to-3-yrs-jobid-MxitXwv0jr1zpSvf__PLUS__uAgZw==&source=srp
4,"CANVAS27.com
     (More Jobs)",1 - 6 yrs,"Should have experience as a Python Developer.Freshers can also applyExperience in python.Experience with frameworks flask ,  djangoExperience with database like Mysql ,  Mongo... More Details","CSS  ,  Solr  ,  Github  ,  Django  ,  MySQL  ,  Javascript  ,  HTML  ,  MongoDB  ,  Elastic Search  ,  Python",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-SprIasbOP6hzpSvf__PLUS__uAgZw==&source=srp
5,"CANVAS27.com
     (More Jobs)",1 - 6 yrs,Ambitious individual who can work under their own direction towards agreed targets / goals.must be flexible to work on the office timings to accommodate the multi-national cli... More Details,"rest  ,  python  ,  open source  ,  django  ,  devops  ,  mysql  ,  API  ,  aws  ,  mongodb  ,  postgres  ,  SQL",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-BLk__SLASH__UC4ZfexzpSvf__PLUS__uAgZw==&source=srp
6,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,"Accountabilities:Write reusable ,  testable ,  and efficient code individually ,  debugging programs and integrating applicationsDesign and implement of low-latency ,  high-av... More Details","coding  ,  python  ,  erp  ,  software development  ,  postgresql  ,  web application  ,  Backend Developer  ,  product development  ,  threading  ,  python developer  ,  python programmer  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-ijLeZkVP4WBzpSvf__PLUS__uAgZw==&source=srp
7,"CANVAS27.com
     (More Jobs)",1 - 6 yrs,"Should have experience as a Python Developer.Freshers can also applyExperience in python.Experience with frameworks flask ,  djangoExperience with database like Mysql ,  Mongo... More Details","CSS  ,  Solr  ,  Github  ,  Django  ,  MySQL  ,  Javascript  ,  HTML  ,  MongoDB  ,  Elastic Search  ,  Python",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-nHuj__PLUS__T5QsGtzpSvf__PLUS__uAgZw==&source=srp
8,"CANVAS27.com
     (More Jobs)",1 - 6 yrs,Ambitious individual who can work under their own direction towards agreed targets / goals.must be flexible to work on the office timings to accommodate the multi-national cli... More Details,"rest  ,  python  ,  open source  ,  django  ,  devops  ,  mysql  ,  API  ,  aws  ,  mongodb  ,  postgres  ,  SQL",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-E9hOCRx6a81zpSvf__PLUS__uAgZw==&source=srp
9,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,"Accountabilities:Write reusable ,  testable ,  and efficient code individually ,  debugging programs and integrating applicationsDesign and implement of low-latency ,  high-av... More Details","coding  ,  python  ,  erp  ,  software development  ,  postgresql  ,  web application  ,  Backend Developer  ,  product development  ,  threading  ,  python developer  ,  python programmer  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-LdKVbJWgFt1zpSvf__PLUS__uAgZw==&source=srp
10,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,"*Good experience of using Python *Database experience with proven ability to write complex queries on large data sets ,  SQLIf the above job does not suit your profile ,  you ... More Details","Python Developer  ,  Pandas  ,  numpy  ,  python programmer",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-WStGUGtlyK9zpSvf__PLUS__uAgZw==&source=srp
11,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,"*Good experience of using Python *Database experience with proven ability to write complex queries on large data sets ,  SQLIf the above job does not suit your profile ,  you ... More Details","Python Developer  ,  Pandas  ,  numpy  ,  python programmer",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-Rnhzaf0mwThzpSvf__PLUS__uAgZw==&source=srp
12,"R DOT VENTURE
     (More Jobs)",4 - 6 yrs,"Sr. Python DeveloperRole: Full timeExperience: Minimum 4 years of relevant experienceLocation: Indore ( Can work from home during pandemic ) Mandatory Skills: Core python ,  D... More Details","git  ,  Svn  ,  mysql  ,  html5  ,  css  ,  django  ,  flask  ,  postgresql",https://www.timesjobs.com/job-detail/senior-python-developer-r-dot-venture-other-city-s-in-madhya-pradesh-4-to-6-yrs-jobid-KPSmdZVDUi1zpSvf__PLUS__uAgZw==&source=srp
13,"R DOT VENTURE
     (More Jobs)",4 - 6 yrs,"1. Proven Experience in any Python web framework like Django ,  flask..2. Good Understanding of HTML 5 and CSS.3. Experience with Relational Databases  ( Mysql ,  PostgreSQL )... More Details","HTML5  ,  CSS  ,  MYSQL  ,  PostgreSQL  ,  Angular  ,  Vue.js  ,  React  ,  Git  ,  SVN  ,  Odoo  ,  Django  ,  Flask  ,  core python",https://www.timesjobs.com/job-detail/senior-python-developer-r-dot-venture-indore-4-to-6-yrs-jobid-u6X4pl6tC5NzpSvf__PLUS__uAgZw==&source=srp
14,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,Responsibilities:Work with Data Science team to convert working prototypes into production environmentsWork with development team integrating machine learning models into prod... More Details,"python  ,  nlp  ,  natural language processing  ,  MongoDB  ,  api  ,  machine learning  ,  nosql",https://www.timesjobs.com/job-detail/python-developer-machine-learning-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-iKFW43h__SLASH__vVlzpSvf__PLUS__uAgZw==&source=srp
15,"CANVAS27.com Consultant
     (More Jobs)",1 - 6 yrs,Responsibilities:Work with Data Science team to convert working prototypes into production environmentsWork with development team integrating machine learning models into prod... More Details,"python  ,  nlp  ,  natural language processing  ,  MongoDB  ,  api  ,  machine learning  ,  nosql",https://www.timesjobs.com/job-detail/python-developer-machine-learning-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-ZLZiz__PLUS__U24oBzpSvf__PLUS__uAgZw==&source=srp
16,TandA HR Solutions,3 - 5 yrs,Hiring for Python Developer for Females in MNC Company for Mohali locationProfile  Python DeveloperExperience  3 to 5 yearsLocation  MohaliGender Preference  FemaleQualificati... More Details,"Django framework  ,  Python Developer  ,  core python",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
17,GenieTalk,0 - 3 yrs,DescriptionWe are looking for a Full Stack Python Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the d... More Details,"html5  ,  storage  ,  security  ,  database  ,  git  ,  debugging  ,  mysql  ,  mongodb  ,  python  ,  cloud services  ,  mobile  ,  svn  ,  javascript  ,  django  ,  angularjs",https://www.timesjobs.com/job-detail/python-developer-genietalk-indore-0-to-3-yrs-jobid-M5DDJJWxv__PLUS__9zpSvf__PLUS__uAgZw==&source=srp
18,AHOM Technologies Private Limited,0 - 3 yrs,We are hiring for python developers. Ideal candidate should have : Strong understanding of Python Web frameworks: DjangoWeb servers: Apache  /  NginxData Stores: MySQL  /  Pos... More Details,"rest  ,  python  ,  html5  ,  javascript  ,  jquery  ,  sql  ,  database management  ,  django  ,  apache  ,  postgresql  ,  mysql  ,  mongodb",https://www.timesjobs.com/job-detail/python-developer-ahom-technologies-private-limited-gurgaon-0-to-3-yrs-jobid-LBbXJpLPppxzpSvf__PLUS__uAgZw==&source=srp
19,TandA HR Solutions,5 - 8 yrs,"Responsibilities Guide the technical planning ,  design and implementation strategies Implement high quality ,  efficient and robust code Create the architecture for scalable ... More Details","python  ,  cloud services  ,  postgresql  ,  mysql  ,  machine learning",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-5-to-8-yrs-jobid-ANbwkl1O2kdzpSvf__PLUS__uAgZw==&source=srp
20,TandA HR Solutions,3 - 6 yrs,"Candidates should be proficient in full stack development ,  specifically web technologies such as PHP ,  Python ,  JS ,  Node ,  Angular ,  JQuery ,  HTML5 ,  CSS3 ,  XML ,  ... More Details","python  ,  html5  ,  mobile  ,  ajax  ,  jquery  ,  java  ,  xml  ,  web technologies  ,  php  ,  mysql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-3-to-6-yrs-jobid-cr__PLUS__7F__PLUS__UyQPpzpSvf__PLUS__uAgZw==&source=srp
21,TandA HR Solutions,3 - 6 yrs,"Location :- ChandigarhSalary : 8 Lakhs to 10 Lakhs PAJOB DESCRIPTIONCandidates should be proficient in full stack development ,  specifically web technologies such as PHP ,  P... More Details","python  ,  html5  ,  software design  ,  mobile  ,  ajax  ,  jquery  ,  java  ,  xml  ,  web technologies  ,  php  ,  debugging  ,  mysql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-3-to-6-yrs-jobid-VW45mNYuF__SLASH__dzpSvf__PLUS__uAgZw==&source=srp
22,creative thoughts informatics indore,1 - 4 yrs,"Job Description : Work experience as a Python Developer.Expertise in at least one popular Python framework  ( like Django ,  Flask or Pyramid ) Knowledge about Rest API.Knowle... More Details","python  ,  django  ,  rest api  ,  html5  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-creative-thoughts-informatics-indore-indore-1-to-4-yrs-jobid-xtV5Tl3aEcVzpSvf__PLUS__uAgZw==&source=srp
23,bigstep technologies pvt ltd,3 - 7 yrs,Desired candidates must have 3-7 years experience in Python development with good expertise in developing web-based applications in Python using frameworks such as Flask or Dj... More Details,"rest api  ,  docker  ,  postgresql  ,  web development  ,  api  ,  mongodb  ,  python  ,  mobile  ,  django",https://www.timesjobs.com/job-detail/python-developer-bigstep-technologies-pvt-ltd-gurgaon-3-to-7-yrs-jobid-IQWyCFbw9URzpSvf__PLUS__uAgZw==&source=srp
24,SYSTEMATIX INFOTECH PVT LTD,1 - 3 yrs,"Skills Work experience as a Python DeveloperExpertise in at least one popular Python framework  ( like Django ,  Flask or Pyramid ) Knowledge of object-relational mapping  ( O... More Details","python  ,  security  ,  django  ,  html5  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-systematix-infotech-pvt-ltd-bhopal-1-to-3-yrs-jobid-Dl__SLASH__nEjdCiSVzpSvf__PLUS__uAgZw==&source=srp